order_id,id_,product_id,fecha_pedido,cantidad,precio_unitario,descuento,importe_total,metodo_pago,envio_gratis,calificacion,devuelto,canal,hoja_origen,categoria_producto,nombre_producto,marca,costo_unitario,precio_lista,peso_kg,proveedor,stock_disponible,fecha_lanzamiento,rating_promedio_producto,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes
1,7ec28fa9-cad8-4f9a-a5b4-04a3f722c107,P0086,3-septiembre-2022,4,"27,29",0.1,"98,23",PAYPAL,0,4.0,no,App movil,2022,Libros,Manual Vantia Pro,Vantia,"26,68","58,69",9.57,Norte Logistica,177,7-marzo-2023,2.97,40.0,Soltero,grado universitario,33352,0.0,0.0,1-enero-2022,Valencia,Este,40.256,-0.274,Nuevo,6
2,0f14d6ee-e853-448f-a20f-d6c933956321,P0086,18-noviembre-2022,1,"68,24",0.05,"64,83",PayPal,0,3.0,no,Tienda fisica,2022,Libros,Manual Vantia Pro,Vantia,"26,68","58,69",9.57,Norte Logistica,177,7-marzo-2023,2.97,38.0,CASADO,grado universitario,53296,1.0,0.0,28-agosto-2022,Bilbao,Norte,40.08,-3.699,Recurrente,10
3,5db0a392-f9b6-48c4-a1b0-bdd040ab4917,P0001,14-enero-2022,1,"25,84",0.1,"23,26",Tarjeta de credito,0,4.0,no,App movil,2022,Electronica,Auriculares Urbanix Basic,Urbanix,"26,73","45,70",9.6,Global Supply SL,383,31-mayo-2020,3.6,45.0,casado,bachillerato,59958,0.0,0.0,24-diciembre-2022,Malaga,Sur,41.581,-8.83,Nuevo,5
4,7cb936e9-265f-4e31-873d-7d17c93ac3d7,P0007,31-marzo-2022,2,"151,99",0.0,"303,97",CONTRAREEMBOLSO,1,3.0,no,Marketplace,2022,Electronica,Portatil Kore Basic,Kore,"52,09","83,96",1.32,Norte Logistica,85,20-julio-2020,4.39,34.0,SOLTERO,grado universitario,44969,0.0,1.0,3-mayo-2018,Bilbao,Norte,40.451,1.636,Recurrente,9
5,c11f579a-6506-4ac4-90ab-59a115a8ad7c,P0059,7-marzo-2022,2,"108,85",0.0,"217,70",Tarjeta de debito,1,5.0,SI,App movil,2022,Deporte,Mancuernas Nova Pro,Nova,"34,03","51,28",8.43,Norte Logistica,25,30-abril-2024,3.54,22.0,Casado,grado universitario,47946,1.0,1.0,16-noviembre-2021,Vigo,Norte,42.86,2.963,Nuevo,13
6,ce09eb24-50fa-4bdf-aea1-835ce0c53537,P0002,5-febrero-2022,1,"37,54",0.0,"37,54",tarjeta de credito,0,4.0,SI,App movil,2022,Electronica,Auriculares Urbanix Pro,Urbanix,"47,97","77,93",11.86,Global Supply SL,392,8-marzo-2019,3.29,28.0,casado,grado universitario,32734,1.0,0.0,22-agosto-2021,Sevilla,Sur,38.152,-2.032,Recurrente,6
7,6b452cf6-8403-44da-a468-497935651e0a,P0021,21-julio-2022,5,"42,45",0.0,"212,25",CONTRAREEMBOLSO,0,,SI,Web,2022,Hogar,Aspiradora Norte&Co Max,Norte&Co,"54,70","80,06",9.32,Distribuidora Iberia,40,8-noviembre-2019,3.85,35.0,Casado,bachillerato,27719,0.0,0.0,23-febrero-2022,Bilbao,Norte,42.764,-7.999,Nuevo,8
8,2ee6512d-f0c8-40d3-b013-655e097c79e0,P0053,16-septiembre-2022,2,"65,24",0.05,"123,95",tarjeta de debito,0,5.0,NO,Marketplace,2022,Ropa,Gorra Nova Pro,Nova,"36,14","49,45",10.77,Norte Logistica,352,29-mayo-2019,3.06,36.0,CASADO,grado universitario,48096,0.0,0.0,8-febrero-2018,Valencia,Este,39.325,0.911,Recurrente,5
9,e9c22acd-9f8b-44c8-b271-c1e41cf783dd,P0059,23-marzo-2022,1,"93,28",0.0,"93,28",CONTRAREEMBOLSO,0,,NO,Tienda fisica,2022,Deporte,Mancuernas Nova Pro,Nova,"34,03","51,28",8.43,Norte Logistica,25,30-abril-2024,3.54,52.0,,grado universitario,17179,0.0,0.0,11-octubre-2020,Madrid,Centro,37.188,-1.137,Nuevo,9
10,fe283b66-1a6d-4869-9532-15959816cf6a,P0021,12-diciembre-2022,1,"30,91",0.15,"26,27",PAYPAL,0,4.0,si,Web,2022,Hogar,Aspiradora Norte&Co Max,Norte&Co,"54,70","80,06",9.32,Distribuidora Iberia,40,8-noviembre-2019,3.85,,soltero,basico,78373,0.0,0.0,20-octubre-2018,Vigo,Norte,38.483,-8.054,Nuevo,10
11,9fbca5f2-0472-4cbf-a855-fa3e061c32b6,P0070,22-noviembre-2022,3,"26,31",0.0,"78,94",Tarjeta de debito,0,5.0,NO,App movil,2022,Deporte,Casco Vantia Basic,Vantia,"24,43","51,88",2.52,Global Supply SL,424,20-mayo-2021,2.87,43.0,Soltero,master,42184,1.0,1.0,4-noviembre-2022,Malaga,Sur,36.748,2.02,Nuevo,9
12,62e3f5c5-72cd-42e1-8360-6173ea6d7906,P0013,31-mayo-2022,1,"72,83",0.1,"65,54",Tarjeta de debito,1,5.0,no,Web,2022,Electronica,Smartwatch Prisma Basic,Prisma,"23,15","46,14",7.79,Norte Logistica,52,16-febrero-2021,3.56,41.0,casado,grado universitario,34727,1.0,1.0,16-febrero-2022,Barcelona,Este,41.791,-0.161,Corporativo,8
13,b98958c6-0e11-4cf3-9165-0fcfe8883d46,P0069,13-mayo-2022,1,"55,98",0.0,"55,98",TARJETA DE CREDITO,0,5.0,NO,Web,2022,Deporte,Raqueta Prisma Max,Prisma,"22,44","42,51",7.59,Distribuidora Iberia,417,26-octubre-2023,3.75,39.0,divorciado,grado universitario,31215,0.0,1.0,12-mayo-2018,Malaga,Sur,39.783,-6.903,Nuevo,7
14,08e2034f-ccb6-45a3-bea2-e7088414473a,P0003,10-marzo-2022,1,"26,22",0.15,"22,28",PAYPAL,0,5.0,no,App movil,2022,Electronica,Auriculares Nova Max,Nova,"49,49","98,89",8.54,Global Supply SL,317,16-junio-2023,4.18,57.0,Casado,basico,45857,1.0,0.0,15-junio-2021,Murcia,Sur,37.587,-6.001,Recurrente,6
