order_id,id_cliente,product_id,fecha_pedido,cantidad,precio_unitario,descuento,importe_total,metodo_pago,envio_gratis,calificacion,devuelto,canal,año_ventas,categoria_producto,nombre_producto,marca,costo_unitario,precio_lista,peso_kg,proveedor,stock_disponible,fecha_lanzamiento,rating_promedio_producto,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes,precio_unitario_wz,importe_total_wz,mes_ventas
1,7ec28fa9-cad8-4f9a-a5b4-04a3f722c107,P0086,2022-09-03,4,27.29,0.1,98.23,paypal,no,4.0,no,app movil,2022,libros,Manual Vantia Pro,vantia,26.68,58.69,9.57,norte logistica,177,2023-03-07,2.97,40.0,soltero,grado universitario,33352,no,no,2022-01-01,valencia,este,40.256,-0.274,nuevo,6,27.29,98.23,9
2,0f14d6ee-e853-448f-a20f-d6c933956321,P0086,2022-11-18,1,68.24,0.05,64.83,paypal,no,3.0,no,tienda fisica,2022,libros,Manual Vantia Pro,vantia,26.68,58.69,9.57,norte logistica,177,2023-03-07,2.97,38.0,casado,grado universitario,53296,si,no,2022-08-28,bilbao,norte,40.08,-3.699,recurrente,10,68.24,64.83,11
3,5db0a392-f9b6-48c4-a1b0-bdd040ab4917,P0001,2022-01-14,1,25.84,0.1,23.26,tarjeta de credito,no,4.0,no,app movil,2022,electronica,Auriculares Urbanix Basic,urbanix,26.73,45.7,9.6,global supply sl,383,2020-05-31,3.6,45.0,casado,bachillerato,59958,no,no,2022-12-24,malaga,sur,41.581,-8.83,nuevo,5,25.84,23.26,1
4,7cb936e9-265f-4e31-873d-7d17c93ac3d7,P0007,2022-03-31,2,151.99,0.0,303.97,contrareembolso,si,3.0,no,marketplace,2022,electronica,Portatil Kore Basic,kore,52.09,83.96,1.32,norte logistica,85,2020-07-20,4.39,34.0,soltero,grado universitario,44969,no,si,2018-05-03,bilbao,norte,40.451,1.636,recurrente,9,151.99,303.97,3
5,c11f579a-6506-4ac4-90ab-59a115a8ad7c,P0059,2022-03-07,2,108.85,0.0,217.7,tarjeta de debito,si,5.0,si,app movil,2022,deporte,Mancuernas Nova Pro,nova,34.03,51.28,8.43,norte logistica,25,2024-04-30,3.54,22.0,casado,grado universitario,47946,si,si,2021-11-16,vigo,norte,42.86,2.963,nuevo,13,108.85,217.7,3
6,ce09eb24-50fa-4bdf-aea1-835ce0c53537,P0002,2022-02-05,1,37.54,0.0,37.54,tarjeta de credito,no,4.0,si,app movil,2022,electronica,Auriculares Urbanix Pro,urbanix,47.97,77.93,11.86,global supply sl,392,2019-03-08,3.29,28.0,casado,grado universitario,32734,si,no,2021-08-22,sevilla,sur,38.152,-2.032,recurrente,6,37.54,37.54,2
7,6b452cf6-8403-44da-a468-497935651e0a,P0021,2022-07-21,5,42.45,0.0,212.25,contrareembolso,no,4.0,si,web,2022,hogar,Aspiradora Norte&Co Max,norte&co,54.7,80.06,9.32,distribuidora iberia,40,2019-11-08,3.85,35.0,casado,bachillerato,27719,no,no,2022-02-23,bilbao,norte,42.764,-7.999,nuevo,8,42.45,212.25,7
8,2ee6512d-f0c8-40d3-b013-655e097c79e0,P0053,2022-09-16,2,65.24,0.05,123.95,tarjeta de debito,no,5.0,no,marketplace,2022,ropa,Gorra Nova Pro,nova,36.14,49.45,10.77,norte logistica,352,2019-05-29,3.06,36.0,casado,grado universitario,48096,no,no,2018-02-08,valencia,este,39.325,0.911,recurrente,5,65.24,123.95,9
9,e9c22acd-9f8b-44c8-b271-c1e41cf783dd,P0059,2022-03-23,1,93.28,0.0,93.28,contrareembolso,no,4.0,no,tienda fisica,2022,deporte,Mancuernas Nova Pro,nova,34.03,51.28,8.43,norte logistica,25,2024-04-30,3.54,52.0,desconocido,grado universitario,17179,no,no,2020-10-11,madrid,centro,37.188,-1.137,nuevo,9,93.28,93.28,3
10,fe283b66-1a6d-4869-9532-15959816cf6a,P0021,2022-12-12,1,30.91,0.15,26.27,paypal,no,4.0,si,web,2022,hogar,Aspiradora Norte&Co Max,norte&co,54.7,80.06,9.32,distribuidora iberia,40,2019-11-08,3.85,40.0,soltero,basico,78373,no,no,2018-10-20,vigo,norte,38.483,-8.054,nuevo,10,30.91,26.27,12
