product_id,ventas,unidades,pedidos,precio_medio,costo_medio,categoria,marca,rating,margen
P0001,56705.7036,1133,553,54.61508137432188,26.73,electronica,urbanix,3.6,27.88508137432188
P0002,58341.8027,1157,594,54.967676767676764,47.97,electronica,urbanix,3.29,6.997676767676765
P0003,68095.08810000001,1352,678,54.690766961651924,49.49,electronica,nova,4.18,5.200766961651922
P0004,65146.669,1227,601,61.81487520798669,60.57,electronica,norte&co,2.94,1.2448752079866878
P0005,63344.3454,1203,597,56.2348743718593,17.49,electronica,zentra,3.95,38.7448743718593
P0006,64842.7881,1238,600,56.01636666666666,66.22,electronica,zentra,3.23,-10.203633333333336
P0007,54981.4,1105,544,54.32183823529412,52.09,electronica,kore,4.39,2.23183823529412
P0008,56585.765400000004,1131,554,55.3137725631769,62.95,electronica,urbanix,4.21,-7.636227436823106
P0009,56961.4963,1133,556,55.747086330935254,13.97,electronica,kore,3.84,41.777086330935255
P0010,63917.8754,1299,611,54.6120294599018,23.59,electronica,lumen,2.89,31.0220294599018
P0011,64298.8772,1260,597,57.28566164154104,31.550000000000004,electronica,prisma,5.0,25.735661641541036
P0012,66553.3454,1224,604,59.894817880794704,52.99,electronica,nova,3.92,6.9048178807947025
P0013,57305.1854,1140,564,54.23021276595745,23.15,electronica,prisma,3.56,31.080212765957448
P0014,58531.6263,1192,574,60.47277003484321,18.35,electronica,vantia,4.49,42.12277003484321
P0015,57018.4236,1147,574,54.09524390243902,60.02,electronica,urbanix,4.12,-5.92475609756098
P0016,61609.7927,1234,599,55.361869782971624,54.61,electronica,norte&co,2.69,0.7518697829716245
P0017,63644.0054,1216,604,58.62448675496689,31.180000000000003,electronica,lumen,4.27,27.444486754966885
P0018,60357.154500000004,1220,592,54.81381756756757,55.21,electronica,kore,3.14,-0.39618243243243256
P0019,59972.3654,1174,559,56.12647584973166,25.1,hogar,vantia,4.15,31.02647584973166
P0020,63030.3572,1206,590,56.17822033898305,26.28,hogar,vantia,4.86,29.89822033898305
P0021,61721.9945,1248,588,57.6851530612245,54.7,hogar,norte&co,3.85,2.9851530612244943
P0022,59027.3827,1187,576,53.52583333333334,21.12,hogar,norte&co,4.98,32.405833333333334
P0023,60434.5163,1183,588,55.668571428571425,12.56,hogar,nova,4.84,43.10857142857142
P0024,55391.4927,1089,566,55.83201413427562,13.33,hogar,zentra,4.1,42.50201413427562
P0025,60059.8936,1196,596,60.19771812080536,22.51,hogar,kore,3.63,37.68771812080536
P0026,59130.979,1162,554,56.645830324909745,31.359999999999996,hogar,zentra,3.22,25.28583032490975
P0027,59715.3445,1192,567,55.85594356261023,13.51,hogar,urbanix,3.36,42.34594356261023
P0028,58544.0263,1153,584,56.70808219178082,8.2,hogar,vantia,2.86,48.508082191780815
P0029,60381.2545,1145,559,57.00318425760286,42.03,hogar,nova,3.86,14.97318425760286
P0030,60333.556300000004,1112,545,67.5277614678899,20.8,hogar,vantia,4.01,46.727761467889906
P0031,59691.9636,1172,567,55.29857142857143,41.97,hogar,vantia,3.28,13.32857142857143
P0032,58501.7963,1177,583,55.039879931389365,80.42,hogar,norte&co,3.63,-25.380120068610637
P0033,59898.7527,1232,602,52.8602657807309,6.78,hogar,nova,3.5,46.0802657807309
P0034,51871.4527,1055,519,55.74165703275529,13.94,hogar,nova,3.68,41.801657032755294
P0035,59689.6327,1207,594,53.40385521885522,39.24,hogar,vantia,4.9,14.163855218855218
P0036,58100.0127,1182,567,54.345520282186946,14.609999999999998,hogar,norte&co,4.82,39.73552028218695
P0037,56423.5427,1161,584,52.21123287671233,7.07,ropa,prisma,3.19,45.14123287671233
P0038,56512.78,1132,567,54.92199294532628,22.67,ropa,vantia,3.54,32.25199294532628
P0039,56792.9145,1162,571,52.46122591943958,67.65,ropa,vantia,3.45,-15.188774080560428
P0040,59574.8745,1186,566,55.01874558303887,18.35,ropa,prisma,4.36,36.66874558303887
P0041,60023.0945,1135,566,61.68678445229682,9.76,ropa,norte&co,4.72,51.92678445229682
P0042,59674.9381,1178,562,55.19044483985765,9.93,ropa,norte&co,4.24,45.26044483985765
P0043,55696.7845,1096,557,55.63461400359066,33.61,ropa,kore,2.97,22.024614003590663
P0044,63688.1772,1238,599,55.28534223706177,43.15,ropa,zentra,3.08,12.13534223706177
P0045,60350.9027,1206,576,55.543125,26.67,ropa,norte&co,4.69,28.873125
P0046,59686.5254,1181,585,55.69976068376069,29.69,ropa,lumen,4.45,26.009760683760685
P0047,56383.1045,1144,562,53.64238434163701,80.97,ropa,nova,4.27,-27.327615658362987
P0048,59895.178100000005,1169,572,59.351381118881115,19.15,ropa,prisma,4.43,40.201381118881116
P0049,60674.416300000004,1154,565,58.32023008849558,34.23,ropa,norte&co,3.44,24.09023008849558
P0050,63355.6745,1214,596,58.58506711409395,44.64,ropa,lumen,4.72,13.945067114093952
P0051,57784.9518,1166,555,53.93827027027027,11.06,ropa,prisma,3.41,42.87827027027027
P0052,51231.3618,1046,556,53.53212230215827,7.580000000000001,ropa,kore,4.95,45.95212230215827
P0053,56262.8545,1111,539,56.018849721706864,36.14,ropa,nova,3.06,19.878849721706864
P0054,65185.4944,1233,573,61.66165794066317,32.42,ropa,lumen,4.01,29.241657940663167
P0055,61096.8436,1236,592,54.70456081081081,96.15,deporte,vantia,3.99,-41.445439189189194
P0056,59093.498100000004,1151,574,55.4666724738676,13.5,deporte,zentra,3.86,41.9666724738676
P0057,60447.1645,1142,548,56.89874087591241,13.36,deporte,kore,3.49,43.53874087591241
P0058,66613.849,1293,612,57.27923202614379,49.34,deporte,vantia,3.35,7.9392320261437845
P0059,62904.9236,1187,581,58.313425129087776,34.03,deporte,nova,3.54,24.283425129087775
P0060,66729.3536,1250,586,61.555750853242316,24.0,deporte,vantia,3.24,37.555750853242316
P0061,58283.6054,1135,555,58.603675675675674,28.78,deporte,kore,2.75,29.823675675675673
P0062,53512.9036,1079,526,52.65992395437262,32.63,deporte,kore,4.69,20.02992395437262
P0063,63768.0263,1273,618,56.55919093851133,34.26,deporte,zentra,4.84,22.29919093851133
P0064,58127.1454,1176,586,54.60742320819113,17.0,deporte,zentra,4.31,37.60742320819113
P0065,61507.5227,1222,560,54.946285714285715,34.32,deporte,zentra,3.31,20.626285714285714
P0066,59175.0181,1122,552,61.2508695652174,10.97,deporte,vantia,4.95,50.2808695652174
P0067,60352.440800000004,1172,556,57.13320143884892,25.61,deporte,vantia,4.07,31.523201438848922
P0068,59653.8845,1191,577,54.78336221837088,39.61,deporte,vantia,3.36,15.173362218370883
P0069,57890.2554,1114,551,57.92575317604356,22.44,deporte,prisma,3.75,35.48575317604356
P0070,59168.0363,1125,562,59.1679537366548,24.43,deporte,vantia,2.87,34.7379537366548
P0071,62580.6236,1245,573,54.75919720767888,5.24,deporte,lumen,3.42,49.51919720767888
P0072,58005.4818,1190,590,53.549220338983055,69.57,deporte,norte&co,3.57,-16.020779661016938
P0073,60677.9236,1204,588,54.819302721088434,91.69,libros,lumen,4.47,-36.870697278911564
P0074,62306.3172,1234,590,55.03838983050848,18.08,libros,vantia,4.42,36.95838983050848
P0075,61403.2445,1204,603,54.728490878938636,29.979999999999997,libros,urbanix,2.66,24.74849087893864
P0076,67576.2763,1301,631,60.438700475435816,39.69,libros,prisma,4.07,20.748700475435818
P0077,54156.4245,1130,576,55.21576388888889,24.43,libros,norte&co,3.25,30.785763888888887
P0078,63403.5845,1214,612,57.32957516339869,30.440000000000005,libros,kore,3.86,26.889575163398682
P0079,60476.6563,1209,584,58.18570205479452,24.21,libros,urbanix,4.84,33.97570205479452
P0080,57573.8254,1149,573,53.4869982547993,16.12,libros,prisma,4.09,37.3669982547993
P0081,59319.7272,1139,548,56.380346715328464,79.32,libros,norte&co,2.63,-22.93965328467153
P0082,64372.9736,1272,613,55.667014681892326,7.0,libros,zentra,4.61,48.667014681892326
P0083,66828.849,1246,621,60.235942028985505,9.96,libros,kore,3.52,50.275942028985504
P0084,65598.0863,1236,612,57.42553921568628,15.119999999999997,libros,nova,4.74,42.30553921568628
P0085,61315.3281,1136,544,57.74029411764706,50.93,libros,zentra,4.9,6.810294117647061
P0086,60139.5927,1195,569,56.63451669595782,26.68,libros,vantia,2.97,29.95451669595782
P0087,61218.1945,1232,591,54.03962774957699,18.46,libros,zentra,4.78,35.579627749576986
P0088,61554.4054,1210,577,57.195615251299834,14.28,libros,lumen,2.82,42.91561525129983
P0089,60563.760800000004,1135,567,60.18961199294533,32.84,libros,desconocido,3.62,27.349611992945327
P0090,56256.0636,1110,551,57.43898366606171,30.86,libros,vantia,4.94,26.57898366606171
