Unnamed: 0,id_,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes
0,b9e805ce-fe13-4ed5-82b1-286271529391,44.0,casado,grado universitario,30544,1.0,0.0,20-octubre-2021,Barcelona,Este,39.838,-7.047,Recurrente,9
1,fa2c965b-9356-48b4-84f1-ee1bf213cee9,26.0,casado,bachillerato,46779,0.0,0.0,21-agosto-2019,Malaga,Sur,39.741,0.201,VIP,4
2,0dd76b11-d81d-4df7-8ef0-23dab7ccf86f,50.0,Casado,master,22003,1.0,0.0,3-diciembre-2020,Vigo,Norte,38.971,-6.919,Nuevo,8
3,ac5ab989-4b81-4b83-8b09-5842b10bacc4,52.0,casado,grado universitario,41512,0.0,0.0,29-diciembre-2021,Malaga,Sur,36.81,1.782,Nuevo,8
4,11f866be-75b7-40d2-a32f-2161caf21791,18.0,Casado,bachillerato,45029,0.0,0.0,4-septiembre-2021,Valencia,Este,39.879,-0.514,Corporativo,4
5,9c874a24-0481-4a44-8e67-a34f040e0bf0,23.0,Soltero,basico,47418,0.0,1.0,7-septiembre-2019,Granada,Sur,42.739,-0.751,Nuevo,7
6,077485ec-e596-44c1-a05f-c40cc4ab2a1e,42.0,CASADO,basico,72261,0.0,1.0,27-diciembre-2019,Murcia,Sur,38.969,-6.292,Nuevo,6
7,547e1b1b-38ec-43a3-9e90-938ecd299c87,36.0,casado,master,36122,1.0,1.0,20-octubre-2018,Granada,Sur,40.063,-3.69,Recurrente,9
8,f905d479-c709-4346-ab1b-5caa6065f6c4,40.0,Divorciado,bachillerato,45288,1.0,0.0,8-octubre-2018,Malaga,Sur,40.758,-8.512,Recurrente,12
9,af2c8555-c8b5-4fcb-a211-94c67cf6c031,29.0,Soltero,master,48140,0.0,0.0,25-mayo-2019,Malaga,Sur,39.214,-4.745,VIP,10
10,6f3d58b3-8c51-4df9-b364-02b62d1b4554,51.0,SOLTERO,basico,39558,0.0,1.0,17-septiembre-2022,Vigo,Norte,41.963,-8.72,Recurrente,10
11,813d4bce-26e9-4a78-9c47-bd2b694327ef,50.0,casado,doctorado,25857,0.0,0.0,5-octubre-2022,Vigo,Norte,36.254,-8.928,Corporativo,12
